highest,monthYear,age,count
Environment,2012-06-01,NA,5
Environment,2012-07-01,15-24,93
Environment,2012-07-01,25-34,156
Environment,2012-07-01,35-44,76
Environment,2012-07-01,45-54,41
Environment,2012-07-01,55-64,22
Environment,2012-07-01,<15,3
Environment,2012-07-01,>65,14
Environment,2012-07-01,NA,3
Environment,2012-08-01,15-24,145
Environment,2012-08-01,25-34,120
Environment,2012-08-01,35-44,71
Environment,2012-08-01,45-54,48
Environment,2012-08-01,55-64,10
Environment,2012-08-01,<15,5
Environment,2012-08-01,>65,6
Environment,2012-08-01,NA,1
Environment,2012-09-01,15-24,147
Environment,2012-09-01,25-34,119
Environment,2012-09-01,35-44,65
Environment,2012-09-01,45-54,31
Environment,2012-09-01,55-64,16
Environment,2012-09-01,<15,9
Environment,2012-09-01,>65,3
Environment,2012-10-01,15-24,177
Environment,2012-10-01,25-34,122
Environment,2012-10-01,35-44,71
Environment,2012-10-01,45-54,44
Environment,2012-10-01,55-64,22
Environment,2012-10-01,<15,9
Environment,2012-10-01,>65,12
Environment,2012-10-01,NA,1
Environment,2012-11-01,15-24,146
Environment,2012-11-01,25-34,118
Environment,2012-11-01,35-44,72
Environment,2012-11-01,45-54,50
Environment,2012-11-01,55-64,21
Environment,2012-11-01,<15,7
Environment,2012-11-01,>65,14
Environment,2012-11-01,NA,1
Environment,2012-12-01,15-24,104
Environment,2012-12-01,25-34,102
Environment,2012-12-01,35-44,47
Environment,2012-12-01,45-54,41
Environment,2012-12-01,55-64,24
Environment,2012-12-01,<15,6
Environment,2012-12-01,>65,8
Environment,2012-12-01,NA,1
Environment,2013-01-01,15-24,84
Environment,2013-01-01,25-34,111
Environment,2013-01-01,35-44,61
Environment,2013-01-01,45-54,46
Environment,2013-01-01,55-64,30
Environment,2013-01-01,<15,7
Environment,2013-01-01,>65,7
Environment,2013-01-01,NA,1
Environment,2013-02-01,15-24,97
Environment,2013-02-01,25-34,94
Environment,2013-02-01,35-44,59
Environment,2013-02-01,45-54,40
Environment,2013-02-01,55-64,19
Environment,2013-02-01,<15,8
Environment,2013-02-01,>65,5
Environment,2013-02-01,NA,6
Environment,2013-03-01,15-24,168
Environment,2013-03-01,25-34,133
Environment,2013-03-01,35-44,80
Environment,2013-03-01,45-54,58
Environment,2013-03-01,55-64,37
Environment,2013-03-01,<15,5
Environment,2013-03-01,>65,8
Environment,2013-03-01,NA,3
Environment,2013-04-01,15-24,100
Environment,2013-04-01,25-34,110
Environment,2013-04-01,35-44,69
Environment,2013-04-01,45-54,43
Environment,2013-04-01,55-64,20
Environment,2013-04-01,<15,5
Environment,2013-04-01,>65,5
Environment,2013-04-01,NA,2
Environment,2013-05-01,15-24,816
Environment,2013-05-01,25-34,1846
Environment,2013-05-01,35-44,1176
Environment,2013-05-01,45-54,735
Environment,2013-05-01,55-64,410
Environment,2013-05-01,<15,37
Environment,2013-05-01,>65,155
Environment,2013-05-01,NA,12
Environment,2013-06-01,15-24,421
Environment,2013-06-01,25-34,847
Environment,2013-06-01,35-44,541
Environment,2013-06-01,45-54,298
Environment,2013-06-01,55-64,171
Environment,2013-06-01,<15,21
Environment,2013-06-01,>65,59
Environment,2013-06-01,NA,8
Environment,2013-07-01,15-24,82
Environment,2013-07-01,25-34,112
Environment,2013-07-01,35-44,78
Environment,2013-07-01,45-54,35
Environment,2013-07-01,55-64,17
Environment,2013-07-01,<15,3
Environment,2013-07-01,>65,1
Environment,2013-07-01,NA,2
Environment,2013-08-01,15-24,123
Environment,2013-08-01,25-34,172
Environment,2013-08-01,35-44,78
Environment,2013-08-01,45-54,30
Environment,2013-08-01,55-64,31
Environment,2013-08-01,<15,13
Environment,2013-08-01,>65,10
Environment,2013-09-01,15-24,197
Environment,2013-09-01,25-34,173
Environment,2013-09-01,35-44,99
Environment,2013-09-01,45-54,58
Environment,2013-09-01,55-64,22
Environment,2013-09-01,<15,21
Environment,2013-09-01,>65,12
Environment,2013-10-01,15-24,223
Environment,2013-10-01,25-34,158
Environment,2013-10-01,35-44,118
Environment,2013-10-01,45-54,58
Environment,2013-10-01,55-64,29
Environment,2013-10-01,<15,33
Environment,2013-10-01,>65,8
Environment,2013-11-01,15-24,238
Environment,2013-11-01,25-34,241
Environment,2013-11-01,35-44,207
Environment,2013-11-01,45-54,123
Environment,2013-11-01,55-64,54
Environment,2013-11-01,<15,17
Environment,2013-11-01,>65,26
Environment,2013-12-01,15-24,81
Environment,2013-12-01,25-34,84
Environment,2013-12-01,35-44,60
Environment,2013-12-01,45-54,33
Environment,2013-12-01,55-64,16
Environment,2013-12-01,<15,6
Environment,2013-12-01,>65,10
Environment,2014-01-01,15-24,273
Environment,2014-01-01,25-34,479
Environment,2014-01-01,35-44,329
Environment,2014-01-01,45-54,228
Environment,2014-01-01,55-64,152
Environment,2014-01-01,<15,27
Environment,2014-01-01,>65,63
Environment,2014-02-01,15-24,236
Environment,2014-02-01,25-34,174
Environment,2014-02-01,35-44,113
Environment,2014-02-01,45-54,70
Environment,2014-02-01,55-64,41
Environment,2014-02-01,<15,25
Environment,2014-02-01,>65,16
Environment,2014-03-01,15-24,237
Environment,2014-03-01,25-34,228
Environment,2014-03-01,35-44,117
Environment,2014-03-01,45-54,94
Environment,2014-03-01,55-64,50
Environment,2014-03-01,<15,27
Environment,2014-03-01,>65,15
Environment,2014-04-01,15-24,187
Environment,2014-04-01,25-34,219
Environment,2014-04-01,35-44,153
Environment,2014-04-01,45-54,93
Environment,2014-04-01,55-64,65
Environment,2014-04-01,<15,42
Environment,2014-04-01,>65,19
Environment,2014-05-01,15-24,389
Environment,2014-05-01,25-34,687
Environment,2014-05-01,35-44,329
Environment,2014-05-01,45-54,225
Environment,2014-05-01,55-64,130
Environment,2014-05-01,<15,33
Environment,2014-05-01,>65,44
Environment,2014-06-01,15-24,163
Environment,2014-06-01,25-34,233
Environment,2014-06-01,35-44,158
Environment,2014-06-01,45-54,95
Environment,2014-06-01,55-64,52
Environment,2014-06-01,<15,22
Environment,2014-06-01,>65,25
Environment,2014-07-01,15-24,149
Environment,2014-07-01,25-34,165
Environment,2014-07-01,35-44,101
Environment,2014-07-01,45-54,67
Environment,2014-07-01,55-64,37
Environment,2014-07-01,<15,12
Environment,2014-07-01,>65,8
Environment,2014-08-01,15-24,460
Environment,2014-08-01,25-34,992
Environment,2014-08-01,35-44,522
Environment,2014-08-01,45-54,315
Environment,2014-08-01,55-64,223
Environment,2014-08-01,<15,23
Environment,2014-08-01,>65,90
Environment,2014-09-01,15-24,187
Environment,2014-09-01,25-34,152
Environment,2014-09-01,35-44,78
Environment,2014-09-01,45-54,43
Environment,2014-09-01,55-64,26
Environment,2014-09-01,<15,22
Environment,2014-09-01,>65,12
Environment,2014-10-01,15-24,217
Environment,2014-10-01,25-34,232
Environment,2014-10-01,35-44,117
Environment,2014-10-01,45-54,85
Environment,2014-10-01,55-64,38
Environment,2014-10-01,<15,37
Environment,2014-10-01,>65,14
Environment,2014-11-01,15-24,173
Environment,2014-11-01,25-34,148
Environment,2014-11-01,35-44,67
Environment,2014-11-01,45-54,65
Environment,2014-11-01,55-64,21
Environment,2014-11-01,<15,9
Environment,2014-11-01,>65,6
Environment,2014-12-01,15-24,137
Environment,2014-12-01,25-34,137
Environment,2014-12-01,35-44,67
Environment,2014-12-01,45-54,36
Environment,2014-12-01,55-64,21
Environment,2014-12-01,<15,13
Environment,2014-12-01,>65,5
Environment,2015-01-01,15-24,185
Environment,2015-01-01,25-34,159
Environment,2015-01-01,35-44,86
Environment,2015-01-01,45-54,53
Environment,2015-01-01,55-64,33
Environment,2015-01-01,<15,25
Environment,2015-01-01,>65,14
Environment,2015-02-01,15-24,231
Environment,2015-02-01,25-34,126
Environment,2015-02-01,35-44,81
Environment,2015-02-01,45-54,56
Environment,2015-02-01,55-64,28
Environment,2015-02-01,<15,38
Environment,2015-02-01,>65,11
Environment,2015-03-01,15-24,346
Environment,2015-03-01,25-34,311
Environment,2015-03-01,35-44,129
Environment,2015-03-01,45-54,65
Environment,2015-03-01,55-64,33
Environment,2015-03-01,<15,49
Environment,2015-03-01,>65,9
Environment,2015-04-01,15-24,176
Environment,2015-04-01,25-34,151
Environment,2015-04-01,35-44,65
Environment,2015-04-01,45-54,41
Environment,2015-04-01,55-64,19
Environment,2015-04-01,<15,51
Environment,2015-04-01,>65,6
Environment,2015-05-01,15-24,159
Environment,2015-05-01,25-34,137
Environment,2015-05-01,35-44,83
Environment,2015-05-01,45-54,60
Environment,2015-05-01,55-64,38
Environment,2015-05-01,<15,22
Environment,2015-05-01,>65,8
Environment,2015-06-01,15-24,145
Environment,2015-06-01,25-34,244
Environment,2015-06-01,35-44,182
Environment,2015-06-01,45-54,143
Environment,2015-06-01,55-64,88
Environment,2015-06-01,<15,22
Environment,2015-06-01,>65,38
Environment,2015-07-01,15-24,148
Environment,2015-07-01,25-34,91
Environment,2015-07-01,35-44,65
Environment,2015-07-01,45-54,41
Environment,2015-07-01,55-64,23
Environment,2015-07-01,<15,14
Environment,2015-07-01,>65,10
Environment,2015-08-01,15-24,97
Environment,2015-08-01,25-34,68
Environment,2015-08-01,35-44,46
Environment,2015-08-01,45-54,32
Environment,2015-08-01,55-64,10
Environment,2015-08-01,<15,15
Environment,2015-08-01,>65,5
Environment,2015-09-01,15-24,164
Environment,2015-09-01,25-34,76
Environment,2015-09-01,35-44,50
Environment,2015-09-01,45-54,34
Environment,2015-09-01,55-64,13
Environment,2015-09-01,<15,15
Environment,2015-09-01,>65,7
Environment,2015-10-01,15-24,237
Environment,2015-10-01,25-34,167
Environment,2015-10-01,35-44,129
Environment,2015-10-01,45-54,72
Environment,2015-10-01,55-64,44
Environment,2015-10-01,<15,20
Environment,2015-10-01,>65,19
Environment,2015-11-01,15-24,384
Environment,2015-11-01,25-34,298
Environment,2015-11-01,35-44,123
Environment,2015-11-01,45-54,49
Environment,2015-11-01,55-64,34
Environment,2015-11-01,<15,24
Environment,2015-11-01,>65,18
Environment,2015-12-01,15-24,64
Environment,2015-12-01,25-34,69
Environment,2015-12-01,35-44,25
Environment,2015-12-01,45-54,20
Environment,2015-12-01,55-64,12
Environment,2015-12-01,<15,4
Environment,2015-12-01,>65,1
Governance,2011-05-01,15-24,130
Governance,2011-05-01,25-34,311
Governance,2011-05-01,35-44,233
Governance,2011-05-01,45-54,167
Governance,2011-05-01,55-64,79
Governance,2011-05-01,>65,23
Governance,2011-06-01,15-24,33
Governance,2011-06-01,25-34,98
Governance,2011-06-01,35-44,52
Governance,2011-06-01,45-54,41
Governance,2011-06-01,55-64,25
Governance,2011-06-01,>65,15
Governance,2011-06-01,NA,1
Governance,2011-07-01,15-24,5
Governance,2011-07-01,25-34,12
Governance,2011-07-01,35-44,11
Governance,2011-07-01,45-54,13
Governance,2011-07-01,55-64,3
Governance,2011-07-01,>65,2
Governance,2011-08-01,15-24,9
Governance,2011-08-01,25-34,13
Governance,2011-08-01,35-44,10
Governance,2011-08-01,45-54,3
Governance,2011-08-01,55-64,1
Governance,2011-09-01,15-24,9
Governance,2011-09-01,25-34,17
Governance,2011-09-01,35-44,12
Governance,2011-09-01,45-54,3
Governance,2011-09-01,55-64,4
Governance,2011-09-01,NA,1
Governance,2011-10-01,15-24,14
Governance,2011-10-01,25-34,28
Governance,2011-10-01,35-44,25
Governance,2011-10-01,45-54,24
Governance,2011-10-01,55-64,12
Governance,2011-10-01,>65,4
Governance,2011-10-01,NA,1
Governance,2011-11-01,15-24,24
Governance,2011-11-01,25-34,23
Governance,2011-11-01,35-44,20
Governance,2011-11-01,45-54,13
Governance,2011-11-01,55-64,9
Governance,2011-11-01,>65,4
Governance,2011-11-01,NA,2
Governance,2011-12-01,15-24,7
Governance,2011-12-01,25-34,16
Governance,2011-12-01,35-44,14
Governance,2011-12-01,45-54,5
Governance,2011-12-01,55-64,5
Governance,2011-12-01,>65,2
Governance,2012-01-01,15-24,16
Governance,2012-01-01,25-34,45
Governance,2012-01-01,35-44,23
Governance,2012-01-01,45-54,10
Governance,2012-01-01,55-64,6
Governance,2012-01-01,>65,3
Governance,2012-02-01,15-24,15
Governance,2012-02-01,25-34,14
Governance,2012-02-01,35-44,14
Governance,2012-02-01,45-54,9
Governance,2012-02-01,55-64,8
Governance,2012-02-01,>65,1
Governance,2012-03-01,15-24,16
Governance,2012-03-01,25-34,17
Governance,2012-03-01,35-44,10
Governance,2012-03-01,45-54,4
Governance,2012-03-01,55-64,3
Governance,2012-03-01,>65,1
Governance,2012-04-01,15-24,6
Governance,2012-04-01,25-34,15
Governance,2012-04-01,35-44,14
Governance,2012-04-01,45-54,11
Governance,2012-04-01,55-64,4
Governance,2012-04-01,>65,2
Governance,2012-05-01,15-24,128
Governance,2012-05-01,25-34,255
Governance,2012-05-01,35-44,171
Governance,2012-05-01,45-54,109
Governance,2012-05-01,55-64,60
Governance,2012-05-01,<15,4
Governance,2012-05-01,>65,25
Governance,2012-05-01,NA,4
Governance,2012-06-01,15-24,76
Governance,2012-06-01,25-34,125
Governance,2012-06-01,35-44,60
Governance,2012-06-01,45-54,38
Governance,2012-06-01,55-64,27
Governance,2012-06-01,<15,14
Governance,2012-06-01,>65,10
Governance,2012-06-01,NA,2
Governance,2012-07-01,15-24,50
Governance,2012-07-01,25-34,66
Governance,2012-07-01,35-44,35
Governance,2012-07-01,45-54,17
Governance,2012-07-01,55-64,6
Governance,2012-07-01,<15,1
Governance,2012-07-01,>65,10
Governance,2012-07-01,NA,1
Governance,2012-08-01,15-24,83
Governance,2012-08-01,25-34,62
Governance,2012-08-01,35-44,34
Governance,2012-08-01,45-54,17
Governance,2012-08-01,55-64,8
Governance,2012-08-01,<15,3
Governance,2012-08-01,>65,3
Governance,2012-08-01,NA,1
Governance,2012-09-01,15-24,67
Governance,2012-09-01,25-34,43
Governance,2012-09-01,35-44,23
Governance,2012-09-01,45-54,13
Governance,2012-09-01,55-64,5
Governance,2012-09-01,<15,4
Governance,2012-09-01,>65,3
Governance,2012-10-01,15-24,85
Governance,2012-10-01,25-34,60
Governance,2012-10-01,35-44,33
Governance,2012-10-01,45-54,23
Governance,2012-10-01,55-64,10
Governance,2012-10-01,<15,4
Governance,2012-10-01,>65,5
Governance,2012-11-01,15-24,72
Governance,2012-11-01,25-34,47
Governance,2012-11-01,35-44,37
Governance,2012-11-01,45-54,20
Governance,2012-11-01,55-64,13
Governance,2012-11-01,<15,4
Governance,2012-11-01,>65,4
Governance,2012-11-01,NA,1
Governance,2012-12-01,15-24,48
Governance,2012-12-01,25-34,48
Governance,2012-12-01,35-44,20
Governance,2012-12-01,45-54,21
Governance,2012-12-01,55-64,7
Governance,2012-12-01,<15,3
Governance,2012-12-01,>65,4
Governance,2013-01-01,15-24,56
Governance,2013-01-01,25-34,54
Governance,2013-01-01,35-44,27
Governance,2013-01-01,45-54,16
Governance,2013-01-01,55-64,15
Governance,2013-01-01,<15,4
Governance,2013-01-01,>65,2
Governance,2013-01-01,NA,1
Governance,2013-02-01,15-24,46
Governance,2013-02-01,25-34,48
Governance,2013-02-01,35-44,34
Governance,2013-02-01,45-54,23
Governance,2013-02-01,55-64,9
Governance,2013-02-01,<15,6
Governance,2013-02-01,>65,3
Governance,2013-02-01,NA,5
Governance,2013-03-01,15-24,81
Governance,2013-03-01,25-34,57
Governance,2013-03-01,35-44,31
Governance,2013-03-01,45-54,21
Governance,2013-03-01,55-64,8
Governance,2013-03-01,<15,2
Governance,2013-03-01,>65,7
Governance,2013-03-01,NA,1
Governance,2013-04-01,15-24,64
Governance,2013-04-01,25-34,55
Governance,2013-04-01,35-44,27
Governance,2013-04-01,45-54,16
Governance,2013-04-01,55-64,8
Governance,2013-04-01,<15,3
Governance,2013-04-01,>65,3
Governance,2013-05-01,15-24,462
Governance,2013-05-01,25-34,928
Governance,2013-05-01,35-44,524
Governance,2013-05-01,45-54,321
Governance,2013-05-01,55-64,177
Governance,2013-05-01,<15,16
Governance,2013-05-01,>65,66
Governance,2013-05-01,NA,10
Governance,2013-06-01,15-24,242
Governance,2013-06-01,25-34,443
Governance,2013-06-01,35-44,258
Governance,2013-06-01,45-54,153
Governance,2013-06-01,55-64,94
Governance,2013-06-01,<15,15
Governance,2013-06-01,>65,38
Governance,2013-06-01,NA,6
Governance,2013-07-01,15-24,48
Governance,2013-07-01,25-34,75
Governance,2013-07-01,35-44,42
Governance,2013-07-01,45-54,23
Governance,2013-07-01,55-64,12
Governance,2013-07-01,<15,5
Governance,2013-07-01,NA,2
Governance,2013-08-01,15-24,57
Governance,2013-08-01,25-34,99
Governance,2013-08-01,35-44,46
Governance,2013-08-01,45-54,14
Governance,2013-08-01,55-64,12
Governance,2013-08-01,<15,9
Governance,2013-08-01,>65,7
Governance,2013-09-01,15-24,127
Governance,2013-09-01,25-34,105
Governance,2013-09-01,35-44,56
Governance,2013-09-01,45-54,31
Governance,2013-09-01,55-64,11
Governance,2013-09-01,<15,10
Governance,2013-09-01,>65,10
Governance,2013-10-01,15-24,131
Governance,2013-10-01,25-34,85
Governance,2013-10-01,35-44,51
Governance,2013-10-01,45-54,26
Governance,2013-10-01,55-64,14
Governance,2013-10-01,<15,23
Governance,2013-10-01,>65,8
Governance,2013-11-01,15-24,145
Governance,2013-11-01,25-34,130
Governance,2013-11-01,35-44,80
Governance,2013-11-01,45-54,49
Governance,2013-11-01,55-64,31
Governance,2013-11-01,<15,9
Governance,2013-11-01,>65,14
Governance,2013-12-01,15-24,50
Governance,2013-12-01,25-34,44
Governance,2013-12-01,35-44,25
Governance,2013-12-01,45-54,18
Governance,2013-12-01,55-64,8
Governance,2013-12-01,<15,4
Governance,2013-12-01,>65,5
Governance,2014-01-01,15-24,131
Governance,2014-01-01,25-34,209
Governance,2014-01-01,35-44,148
Governance,2014-01-01,45-54,102
Governance,2014-01-01,55-64,63
Governance,2014-01-01,<15,16
Governance,2014-01-01,>65,32
Governance,2014-02-01,15-24,137
Governance,2014-02-01,25-34,77
Governance,2014-02-01,35-44,40
Governance,2014-02-01,45-54,29
Governance,2014-02-01,55-64,15
Governance,2014-02-01,<15,17
Governance,2014-02-01,>65,7
Governance,2014-03-01,15-24,123
Governance,2014-03-01,25-34,94
Governance,2014-03-01,35-44,49
Governance,2014-03-01,45-54,45
Governance,2014-03-01,55-64,13
Governance,2014-03-01,<15,23
Governance,2014-03-01,>65,7
Governance,2014-04-01,15-24,86
Governance,2014-04-01,25-34,94
Governance,2014-04-01,35-44,63
Governance,2014-04-01,45-54,28
Governance,2014-04-01,55-64,31
Governance,2014-04-01,<15,28
Governance,2014-04-01,>65,8
Governance,2014-05-01,15-24,167
Governance,2014-05-01,25-34,256
Governance,2014-05-01,35-44,123
Governance,2014-05-01,45-54,86
Governance,2014-05-01,55-64,53
Governance,2014-05-01,<15,27
Governance,2014-05-01,>65,15
Governance,2014-06-01,15-24,92
Governance,2014-06-01,25-34,102
Governance,2014-06-01,35-44,69
Governance,2014-06-01,45-54,39
Governance,2014-06-01,55-64,28
Governance,2014-06-01,<15,13
Governance,2014-06-01,>65,13
Governance,2014-07-01,15-24,68
Governance,2014-07-01,25-34,64
Governance,2014-07-01,35-44,52
Governance,2014-07-01,45-54,29
Governance,2014-07-01,55-64,19
Governance,2014-07-01,<15,8
Governance,2014-07-01,>65,4
Governance,2014-08-01,15-24,152
Governance,2014-08-01,25-34,225
Governance,2014-08-01,35-44,141
Governance,2014-08-01,45-54,80
Governance,2014-08-01,55-64,55
Governance,2014-08-01,<15,11
Governance,2014-08-01,>65,24
Governance,2014-09-01,15-24,89
Governance,2014-09-01,25-34,63
Governance,2014-09-01,35-44,25
Governance,2014-09-01,45-54,24
Governance,2014-09-01,55-64,16
Governance,2014-09-01,<15,10
Governance,2014-09-01,>65,7
Governance,2014-10-01,15-24,105
Governance,2014-10-01,25-34,91
Governance,2014-10-01,35-44,59
Governance,2014-10-01,45-54,43
Governance,2014-10-01,55-64,22
Governance,2014-10-01,<15,17
Governance,2014-10-01,>65,8
Governance,2014-11-01,15-24,91
Governance,2014-11-01,25-34,59
Governance,2014-11-01,35-44,19
Governance,2014-11-01,45-54,29
Governance,2014-11-01,55-64,16
Governance,2014-11-01,<15,7
Governance,2014-11-01,>65,2
Governance,2014-12-01,15-24,75
Governance,2014-12-01,25-34,53
Governance,2014-12-01,35-44,35
Governance,2014-12-01,45-54,7
Governance,2014-12-01,55-64,10
Governance,2014-12-01,<15,10
Governance,2014-12-01,>65,3
Governance,2015-01-01,15-24,83
Governance,2015-01-01,25-34,69
Governance,2015-01-01,35-44,35
Governance,2015-01-01,45-54,17
Governance,2015-01-01,55-64,13
Governance,2015-01-01,<15,14
Governance,2015-01-01,>65,7
Governance,2015-02-01,15-24,150
Governance,2015-02-01,25-34,55
Governance,2015-02-01,35-44,32
Governance,2015-02-01,45-54,35
Governance,2015-02-01,55-64,9
Governance,2015-02-01,<15,22
Governance,2015-02-01,>65,6
Governance,2015-03-01,15-24,159
Governance,2015-03-01,25-34,103
Governance,2015-03-01,35-44,56
Governance,2015-03-01,45-54,22
Governance,2015-03-01,55-64,16
Governance,2015-03-01,<15,33
Governance,2015-03-01,>65,6
Governance,2015-04-01,15-24,88
Governance,2015-04-01,25-34,63
Governance,2015-04-01,35-44,24
Governance,2015-04-01,45-54,17
Governance,2015-04-01,55-64,7
Governance,2015-04-01,<15,33
Governance,2015-04-01,>65,3
Governance,2015-05-01,15-24,82
Governance,2015-05-01,25-34,57
Governance,2015-05-01,35-44,25
Governance,2015-05-01,45-54,24
Governance,2015-05-01,55-64,19
Governance,2015-05-01,<15,15
Governance,2015-05-01,>65,3
Governance,2015-06-01,15-24,55
Governance,2015-06-01,25-34,98
Governance,2015-06-01,35-44,78
Governance,2015-06-01,45-54,53
Governance,2015-06-01,55-64,26
Governance,2015-06-01,<15,12
Governance,2015-06-01,>65,12
Governance,2015-07-01,15-24,80
Governance,2015-07-01,25-34,36
Governance,2015-07-01,35-44,23
Governance,2015-07-01,45-54,21
Governance,2015-07-01,55-64,10
Governance,2015-07-01,<15,6
Governance,2015-07-01,>65,6
Governance,2015-08-01,15-24,63
Governance,2015-08-01,25-34,45
Governance,2015-08-01,35-44,23
Governance,2015-08-01,45-54,10
Governance,2015-08-01,55-64,3
Governance,2015-08-01,<15,6
Governance,2015-08-01,>65,4
Governance,2015-09-01,15-24,84
Governance,2015-09-01,25-34,36
Governance,2015-09-01,35-44,27
Governance,2015-09-01,45-54,16
Governance,2015-09-01,55-64,4
Governance,2015-09-01,<15,10
Governance,2015-09-01,>65,1
Governance,2015-10-01,15-24,144
Governance,2015-10-01,25-34,65
Governance,2015-10-01,35-44,44
Governance,2015-10-01,45-54,31
Governance,2015-10-01,55-64,13
Governance,2015-10-01,<15,10
Governance,2015-10-01,>65,7
Governance,2015-11-01,15-24,162
Governance,2015-11-01,25-34,113
Governance,2015-11-01,35-44,47
Governance,2015-11-01,45-54,21
Governance,2015-11-01,55-64,14
Governance,2015-11-01,<15,18
Governance,2015-11-01,>65,12
Governance,2015-12-01,15-24,34
Governance,2015-12-01,25-34,31
Governance,2015-12-01,35-44,16
Governance,2015-12-01,45-54,14
Governance,2015-12-01,55-64,4
Governance,2015-12-01,<15,1
Health,2011-05-01,15-24,266
Health,2011-05-01,25-34,622
Health,2011-05-01,35-44,448
Health,2011-05-01,45-54,256
Health,2011-05-01,55-64,134
Health,2011-05-01,>65,49
Health,2011-05-01,NA,4
Health,2011-06-01,15-24,62
Health,2011-06-01,25-34,168
Health,2011-06-01,35-44,98
Health,2011-06-01,45-54,78
Health,2011-06-01,55-64,45
Health,2011-06-01,>65,23
Health,2011-06-01,NA,1
Health,2011-07-01,15-24,11
Health,2011-07-01,25-34,31
Health,2011-07-01,35-44,25
Health,2011-07-01,45-54,20
Health,2011-07-01,55-64,4
Health,2011-07-01,>65,3
Health,2011-08-01,15-24,13
Health,2011-08-01,25-34,20
Health,2011-08-01,35-44,15
Health,2011-08-01,45-54,7
Health,2011-08-01,55-64,3
Health,2011-08-01,>65,2
Health,2011-09-01,15-24,18
Health,2011-09-01,25-34,30
Health,2011-09-01,35-44,20
Health,2011-09-01,45-54,11
Health,2011-09-01,55-64,8
Health,2011-09-01,NA,2
Health,2011-10-01,15-24,59
Health,2011-10-01,25-34,76
Health,2011-10-01,35-44,44
Health,2011-10-01,45-54,40
Health,2011-10-01,55-64,23
Health,2011-10-01,>65,10
Health,2011-10-01,NA,2
Health,2011-11-01,15-24,83
Health,2011-11-01,25-34,56
Health,2011-11-01,35-44,47
Health,2011-11-01,45-54,27
Health,2011-11-01,55-64,17
Health,2011-11-01,>65,8
Health,2011-11-01,NA,2
Health,2011-12-01,15-24,39
Health,2011-12-01,25-34,37
Health,2011-12-01,35-44,36
Health,2011-12-01,45-54,12
Health,2011-12-01,55-64,6
Health,2011-12-01,>65,4
Health,2011-12-01,NA,2
Health,2012-01-01,15-24,52
Health,2012-01-01,25-34,90
Health,2012-01-01,35-44,44
Health,2012-01-01,45-54,37
Health,2012-01-01,55-64,26
Health,2012-01-01,>65,9
Health,2012-02-01,15-24,32
Health,2012-02-01,25-34,48
Health,2012-02-01,35-44,32
Health,2012-02-01,45-54,17
Health,2012-02-01,55-64,11
Health,2012-02-01,>65,3
Health,2012-02-01,NA,2
Health,2012-03-01,15-24,52
Health,2012-03-01,25-34,45
Health,2012-03-01,35-44,25
Health,2012-03-01,45-54,16
Health,2012-03-01,55-64,4
Health,2012-03-01,>65,3
Health,2012-04-01,15-24,29
Health,2012-04-01,25-34,34
Health,2012-04-01,35-44,23
Health,2012-04-01,45-54,14
Health,2012-04-01,55-64,8
Health,2012-04-01,>65,5
Health,2012-04-01,NA,2
Health,2012-05-01,15-24,405
Health,2012-05-01,25-34,892
Health,2012-05-01,35-44,580
Health,2012-05-01,45-54,343
Health,2012-05-01,55-64,238
Health,2012-05-01,<15,15
Health,2012-05-01,>65,86
Health,2012-05-01,NA,9
Health,2012-06-01,15-24,191
Health,2012-06-01,25-34,365
Health,2012-06-01,35-44,199
Health,2012-06-01,45-54,134
Health,2012-06-01,55-64,97
Health,2012-06-01,<15,21
Health,2012-06-01,>65,47
Health,2012-06-01,NA,5
Health,2012-07-01,15-24,108
Health,2012-07-01,25-34,183
Health,2012-07-01,35-44,84
Health,2012-07-01,45-54,53
Health,2012-07-01,55-64,27
Health,2012-07-01,<15,4
Health,2012-07-01,>65,20
Health,2012-07-01,NA,2
Health,2012-08-01,15-24,252
Health,2012-08-01,25-34,137
Health,2012-08-01,35-44,86
Health,2012-08-01,45-54,58
Health,2012-08-01,55-64,26
Health,2012-08-01,<15,7
Health,2012-08-01,>65,12
Health,2012-08-01,NA,4
Health,2012-09-01,15-24,225
Health,2012-09-01,25-34,138
Health,2012-09-01,35-44,88
Health,2012-09-01,45-54,56
Health,2012-09-01,55-64,19
Health,2012-09-01,<15,13
Health,2012-09-01,>65,14
Health,2012-09-01,NA,4
Health,2012-10-01,15-24,313
Health,2012-10-01,25-34,165
Health,2012-10-01,35-44,99
Health,2012-10-01,45-54,65
Health,2012-10-01,55-64,29
Health,2012-10-01,<15,14
Health,2012-10-01,>65,11
Health,2012-10-01,NA,1
Health,2012-11-01,15-24,247
Health,2012-11-01,25-34,136
Health,2012-11-01,35-44,99
Health,2012-11-01,45-54,63
Health,2012-11-01,55-64,32
Health,2012-11-01,<15,7
Health,2012-11-01,>65,11
Health,2012-11-01,NA,1
Health,2012-12-01,15-24,187
Health,2012-12-01,25-34,136
Health,2012-12-01,35-44,63
Health,2012-12-01,45-54,54
Health,2012-12-01,55-64,33
Health,2012-12-01,<15,10
Health,2012-12-01,>65,10
Health,2012-12-01,NA,3
Health,2013-01-01,15-24,143
Health,2013-01-01,25-34,149
Health,2013-01-01,35-44,90
Health,2013-01-01,45-54,50
Health,2013-01-01,55-64,43
